"LINK_ID","TIME","FLOW","LANE_NO","OCC","ASPEED","LARGE_CAR_FLOW"
"3036","2009-06-01 01:34:51","4","11","1","62","0"
"3036","2009-06-01 01:34:51","3","3","1","89","0"
"3036","2009-06-01 01:34:51","6","2","1","51","0"
"3036","2009-06-01 01:34:51","6","1","1","73","0"
"3036","2009-06-01 01:36:51","2","13","1","84","0"
"3036","2009-06-01 01:36:51","5","12","1","76","0"
"3036","2009-06-01 01:36:51","6","11","1","77","1"
"3036","2009-06-01 01:36:51","2","3","1","107","0"
"3036","2009-06-01 01:36:51","3","2","1","48","0"
"3036","2009-06-01 01:36:51","4","1","1","69","0"
"3036","2009-06-01 01:38:50","5","13","1","102","0"
"3036","2009-06-01 01:38:50","7","12","1","55","1"
"3036","2009-06-01 01:38:50","4","11","1","65","0"
"3036","2009-06-01 01:38:50","2","3","1","80","0"
"3036","2009-06-01 01:38:50","6","2","1","90","0"
"3036","2009-06-01 01:38:50","4","1","1","62","0"
"3036","2009-06-01 01:42:50","1","13","1","83","0"
"3036","2009-06-01 01:42:50","9","12","2","81","1"
"3036","2009-06-01 01:42:50","8","11","1","60","1"
"3036","2009-06-01 01:42:50","3","3","1","67","1"
"3036","2009-06-01 01:42:50","7","2","1","41","0"
"3036","2009-06-01 01:42:50","5","1","1","57","0"
"3036","2009-06-01 01:46:49","0","13","0","0","0"
"3036","2009-06-01 01:46:49","6","12","1","85","2"
"3036","2009-06-01 01:46:49","9","11","1","81","0"
"3036","2009-06-01 01:46:49","2","3","1","51","1"
"3036","2009-06-01 01:46:49","8","2","2","53","1"
"3036","2009-06-01 01:46:49","5","1","1","61","0"
"3036","2009-06-01 01:48:48","1","13","1","57","1"
"3036","2009-06-01 01:48:48","5","12","1","80","1"
"3036","2009-06-01 01:48:48","9","11","1","92","0"
"3036","2009-06-01 01:48:48","2","3","1","58","1"
"3036","2009-06-01 01:48:48","7","2","1","66","1"
"3036","2009-06-01 01:48:48","4","1","1","61","0"
"3036","2009-06-01 01:50:48","2","13","1","116","0"
"3036","2009-06-01 01:50:48","7","12","1","62","1"
"3036","2009-06-01 01:50:48","6","11","1","85","0"
"3036","2009-06-01 01:50:48","3","3","1","71","1"
"3036","2009-06-01 01:50:48","3","2","1","43","1"
"3036","2009-06-01 01:50:48","4","1","1","79","0"
"3036","2009-06-01 01:52:47","2","13","1","90","0"
"3036","2009-06-01 01:52:47","4","12","1","51","1"
"3036","2009-06-01 01:52:47","4","11","1","78","0"
"3036","2009-06-01 01:52:47","5","3","1","59","3"
"3036","2009-06-01 01:52:47","6","2","1","53","2"
"3036","2009-06-01 01:52:47","6","1","1","63","0"
"3036","2009-06-01 01:56:46","4","13","1","63","1"
"3036","2009-06-01 01:56:46","6","12","5","48","2"
"3036","2009-06-01 01:56:46","8","11","5","78","2"
"3036","2009-06-01 01:56:46","2","3","1","62","0"
"3036","2009-06-01 01:56:46","10","2","1","52","0"
"3036","2009-06-01 01:56:46","7","1","1","61","0"
"3036","2009-06-01 01:58:46","4","13","1","80","0"
"3036","2009-06-01 01:58:46","8","12","2","49","2"
"3036","2009-06-01 01:58:46","5","11","1","62","1"
